p401,net_tfa,age,inc,fsize,educ,pira
1,55058.12,48,67326.83,5,16,0
1,61846.86,54,97260.87,4,17,0
0,53392.26,49,72260.41,2,16,1
0,30370.91,26,20253.69,4,9,1
0,6678.81,26,15745.66,2,9,1
0,17055.18,32,37809.58,1,11,0
0,43739.51,58,60889.17,1,9,0
0,43407.18,34,49291.75,4,15,0
1,51917.42,33,107599.51,1,13,0
0,10495.35,31,56982.88,4,9,0
0,36047.05,38,53308.75,5,11,0
1,30499.45,33,23416.74,1,12,1
0,20950.14,45,18683.01,1,11,0
0,38224.07,42,88489.87,4,10,1
1,41136.48,31,37397.06,2,13,0
1,47924.97,60,59095.62,3,8,0
1,30820.71,26,15901.14,3,9,1
0,38625.17,53,27950.14,5,17,0
1,43579.14,45,16736.46,4,15,1
0,36157.36,35,22801.76,1,8,0
1,37071.22,25,62432.29,3,14,1
1,39415.47,57,14937.82,2,12,1
1,43392.85,63,26358.45,3,9,0
1,53171.17,41,40065.59,3,15,1
0,34656.0,56,24316.68,3,12,0
1,54790.24,47,31214.13,1,15,0
1,55782.39,50,31789.24,3,14,0
0,46760.91,35,46671.23,5,17,0
1,30470.12,44,28036.07,4,9,0
0,22086.35,45,42759.92,3,9,0
1,59331.22,61,37574.9,2,14,1
0,36364.25,36,46851.65,4,12,1
1,40166.81,37,41563.02,3,9,0
0,44848.81,45,98185.17,2,14,0
0,55495.0,52,24386.73,3,13,0
0,34714.99,31,74571.4,3,15,0
0,20312.1,26,28522.04,5,10,0
0,47867.89,63,20439.9,1,16,0
1,73804.03,56,75110.58,4,17,0
0,25119.45,42,27897.61,4,9,0
0,36505.44,36,28779.5,3,16,0
1,43122.02,27,15784.6,4,10,1
0,19765.58,32,10312.19,2,8,0
0,27692.77,39,53134.44,5,10,0
1,40306.97,51,18048.9,1,13,1
0,35866.33,33,57928.44,4,17,1
0,50526.17,42,110073.14,2,17,0
0,50322.89,42,33898.34,4,15,0
1,45219.46,35,18472.36,2,17,0
0,17935.34,37,46005.65,4,10,0
0,37855.35,38,57356.25,5,17,1
1,38255.3,56,31036.7,5,13,0
0,42687.44,49,36698.04,2,10,1
0,20979.96,25,80915.64,3,11,0
1,23458.23,26,77596.0,2,11,0
1,38719.07,25,55602.69,3,13,0
0,30374.07,44,21593.76,1,9,0
0,28455.76,50,35164.58,3,10,0
1,46111.14,51,52143.27,2,13,0
1,33808.55,25,31980.46,2,17,1
0,39597.11,34,25184.63,3,16,1
0,31078.25,27,22942.97,3,16,0
0,23343.64,30,24854.52,2,11,1
0,35189.59,39,24270.99,3,16,0
1,69587.15,60,27704.03,2,13,0
1,34380.79,34,72215.24,2,8,0
0,48212.31,37,22462.78,1,17,1
0,46535.66,35,61829.83,5,16,1
1,49518.73,30,46655.72,3,16,1
0,45608.17,61,39491.86,3,16,1
0,28200.95,59,22105.0,4,13,0
1,43127.08,45,27611.39,5,8,1
0,22243.12,32,118673.73,5,10,0
1,46097.53,44,38539.57,4,12,0
1,55169.49,58,50157.57,1,12,1
1,29786.37,64,54058.33,5,11,0
0,47999.38,42,68417.57,5,14,0
0,27553.3,62,31492.04,2,10,1
1,62510.51,41,25181.92,3,15,1
0,13928.94,59,35039.51,1,8,0
0,33859.91,37,31054.79,1,15,0
1,48352.35,60,58361.17,4,10,1
1,49393.66,54,40691.16,1,15,0
1,41014.35,59,41921.84,3,12,0
0,34576.6,47,39616.69,3,13,0
0,46463.08,50,75888.51,5,13,1
0,30814.32,45,26223.83,4,13,0
0,24929.77,29,27254.84,1,10,0
0,26307.06,56,61764.16,5,8,0
0,27909.25,38,34069.37,1,9,0
1,45123.82,35,45095.01,1,11,1
0,22619.65,25,23449.56,5,11,1
1,29977.95,45,36827.45,2,13,0
0,37725.04,36,47056.31,3,14,0
0,32896.6,63,16375.44,3,9,0
1,39715.19,41,23933.62,3,12,1
1,63244.71,49,46809.32,5,14,0
1,59829.63,61,139984.2,4,10,1
1,48238.45,48,47924.0,2,14,1
0,35953.91,54,35054.11,5,13,1
0,34189.81,55,21870.05,5,12,0
0,46824.99,31,45934.68,3,17,0
1,45157.96,35,8096.25,3,11,1
0,28287.61,58,35252.17,1,13,0
1,47487.83,57,29789.56,1,15,0
1,63745.6,57,26591.64,3,16,0
1,41846.5,58,146124.17,2,8,1
0,52243.42,44,8232.76,4,17,0
1,52594.12,62,35833.38,4,12,0
0,41527.37,29,37850.04,2,9,0
0,32813.83,26,48069.25,4,10,1
0,49345.29,44,13890.77,4,12,0
1,46323.28,48,27447.39,2,10,0
0,27420.06,28,14805.16,3,9,0
0,31512.97,45,33638.58,1,9,0
0,33245.34,53,40845.49,1,10,1
1,66601.2,64,40082.39,2,17,1
0,28113.42,37,32247.45,3,9,0
0,34014.91,53,40601.72,4,10,0
0,23631.68,54,40393.21,1,9,0
1,37477.48,60,46306.66,4,10,1
0,14273.3,43,36869.32,3,8,1
0,23984.76,28,12459.99,3,13,0
1,52873.14,47,22274.01,5,17,0
1,42134.02,39,44682.81,4,9,1
1,49484.82,26,21032.04,3,17,0
0,24029.54,49,22492.68,5,12,0
0,31832.43,31,38871.39,5,11,0
1,57366.08,50,35336.88,4,16,1
1,47073.09,57,62086.52,2,8,0
1,41365.29,27,49370.7,2,13,0
0,24137.92,33,27970.89,5,8,0
1,45492.88,59,38892.33,4,8,0
0,33076.22,35,6533.44,4,13,1
0,37861.18,45,22506.44,4,13,1
1,31784.25,64,33241.04,5,8,1
0,46026.18,58,8670.26,4,14,1
1,49663.43,55,29927.53,1,13,0
0,39809.93,48,42234.13,3,11,0
0,15624.8,33,67573.43,2,10,0
1,38456.37,51,46247.18,3,8,1
1,60180.5,58,112482.82,2,12,0
0,45624.22,35,90832.76,4,15,0
1,44495.48,40,13621.21,1,10,1
0,48919.51,53,31709.43,3,13,1
0,40101.48,40,33067.04,2,15,0
1,42478.89,25,38369.29,4,17,0
1,43068.62,49,25754.45,2,10,0
1,48005.17,53,52377.75,1,14,0
0,35578.67,47,56784.43,2,13,0
0,36872.26,27,14551.48,3,14,0
0,70878.92,45,64037.51,1,17,1
0,37983.6,30,24623.87,4,16,1
0,64001.82,52,68444.59,3,16,1
0,61919.75,63,50959.77,1,14,0
0,32727.87,31,33579.69,4,11,1
1,42993.06,25,119733.54,4,16,0
1,27409.51,42,61952.17,3,8,0
0,22226.52,33,37026.63,5,13,1
0,32650.22,43,42166.28,1,13,0
1,63967.25,59,154674.86,3,12,1
1,42152.44,61,84989.73,3,11,1
0,50916.64,40,64203.83,2,14,0
1,47306.66,55,41321.23,4,16,1
1,28522.94,49,50902.58,5,12,1
1,52469.22,53,39699.3,5,9,0
0,24959.41,50,14538.08,3,11,1
1,38809.22,53,61784.18,5,12,1
0,44649.91,48,46576.98,4,13,0
1,46123.2,50,16149.39,5,17,0
1,38354.75,39,24701.13,3,12,0
0,37386.89,52,31295.24,3,15,0
0,26502.66,47,44153.52,2,9,0
0,38006.44,41,102469.16,2,11,0
0,42941.05,42,36703.75,3,15,1
0,26682.89,48,11330.52,1,11,1
0,60083.22,45,53630.97,1,17,1
1,37958.35,49,32831.38,1,12,1
0,26873.66,46,12763.44,1,12,0
0,55764.6,61,9237.02,3,12,1
0,41950.98,36,19175.68,5,17,0
1,30238.02,50,45568.63,4,10,1
0,28556.1,60,23040.03,2,9,0
0,38364.22,30,52042.98,4,14,0
0,43631.64,54,30679.15,4,16,1
1,55896.93,60,40546.96,2,15,0
1,36220.55,46,55367.47,5,10,0
0,35297.9,46,51397.79,1,12,0
0,40890.53,54,19312.54,5,14,1
1,61980.0,42,115479.94,1,15,1
1,41124.85,45,11087.97,2,11,1
1,62537.3,63,32442.11,2,15,0
0,31898.67,29,19673.85,1,17,0
1,55021.35,41,74169.03,2,16,1
0,30432.79,60,16542.46,1,11,0
0,28087.16,26,19526.38,5,16,1
0,42057.7,54,18335.48,5,15,0
0,30451.18,38,15883.57,4,14,1
0,30244.05,34,25752.93,5,16,0
0,25777.23,55,40462.08,1,12,1
1,50832.01,39,20297.0,2,15,0
1,35772.99,33,13142.3,1,10,1
0,37530.22,52,30678.78,4,12,0
1,48382.36,39,35332.84,1,16,1
0,34086.19,45,55161.38,2,9,0
1,40406.42,37,22141.96,5,15,0
1,31028.12,38,32162.64,1,9,0
1,46993.33,47,62028.6,4,15,0
0,29624.86,35,19839.68,2,17,0
0,16527.67,48,33978.64,4,9,0
1,29040.07,36,29006.81,4,9,0
1,51013.58,63,15163.69,2,12,0
1,51292.95,31,33588.25,5,13,1
1,40744.21,30,70652.28,4,14,0
1,64530.88,39,138486.54,3,17,0
0,37980.34,27,15149.99,2,16,1
1,50139.87,41,63055.0,3,13,1
0,29781.22,61,70380.57,4,9,1
1,42395.37,47,74891.63,1,14,0
0,41735.93,38,27804.61,2,12,0
1,52600.88,64,43638.38,4,13,0
1,37967.17,48,25039.89,3,10,1
1,56090.42,55,50580.18,3,16,0
0,52081.8,43,74172.8,3,12,1
0,36633.01,31,31142.15,3,17,1
1,46030.27,44,41268.81,3,10,1
0,52774.61,47,60520.31,3,16,0
1,44683.29,42,55582.24,2,11,1
1,29707.13,46,24298.75,3,11,1
0,32080.95,46,82240.3,1,14,0
0,21263.46,49,48341.3,2,12,0
1,51281.52,63,39654.47,2,12,0
0,27361.83,32,37037.51,4,15,1
1,53183.87,61,54989.4,5,8,0
1,55789.87,25,67071.45,2,15,0
1,72855.6,37,16908.58,3,15,0
1,33111.19,64,21503.62,4,12,0
0,872.21,27,12866.11,5,8,0
1,44166.45,56,47282.42,5,14,1
0,37574.03,51,45678.8,2,10,0
1,44081.61,34,29405.88,1,16,0
0,35161.52,52,18783.51,2,12,1
0,39888.31,46,79583.4,5,9,0
0,29287.66,39,94753.5,1,11,0
0,25821.0,44,93563.71,5,8,1
0,37242.85,52,37393.54,1,13,1
1,48839.5,53,39484.18,3,12,0
1,30153.54,29,39430.72,5,11,0
0,29155.61,52,33469.36,5,10,0
1,60494.02,57,17378.26,3,16,1
0,21196.7,25,25234.92,1,11,1
0,19136.56,37,59228.75,3,16,0
0,25253.44,25,36249.75,5,12,0
1,38795.17,29,27280.54,5,14,1
1,56059.24,30,31219.98,2,17,0
0,50916.99,51,103745.7,4,16,1
1,45572.51,32,88624.55,4,16,1
0,24308.94,46,70351.88,2,9,0
0,33680.94,43,40372.2,2,8,0
0,24865.29,50,17569.73,3,10,1
0,22094.94,55,40799.99,5,10,0
0,40917.85,54,29924.76,1,17,1
1,34509.38,64,52667.56,2,13,1
1,56676.05,63,67108.07,2,16,1
0,14238.58,26,24113.29,3,11,1
0,46544.48,39,80092.6,2,17,0
0,23320.81,33,37598.38,3,9,0
