promo_applied,spend_90d,tenure_months,past_purchases,age
0,42.48,17,4,24
1,166.2,23,9,48
0,66.13,22,2,35
0,102.33,22,8,48
0,95.83,3,2,35
0,111.46,6,2,40
1,98.07,39,13,31
1,109.99,36,2,24
1,68.46,30,9,45
1,127.39,46,6,58
1,71.37,4,6,30
0,53.13,4,5,31
1,71.5,16,11,33
0,82.76,15,1,34
1,90.09,32,1,25
0,102.98,38,3,21
0,78.58,33,6,27
1,106.23,19,4,39
1,104.65,25,6,53
0,88.06,47,3,43
0,75.29,13,4,35
1,132.18,12,10,35
1,109.18,24,11,20
1,103.47,27,7,27
1,78.44,23,2,29
0,71.84,25,7,44
0,58.8,21,3,52
1,75.4,16,3,28
0,74.2,23,7,42
0,43.58,12,2,39
0,121.2,11,1,36
0,43.44,26,10,63
1,80.85,41,1,37
0,30.5,16,0,34
1,125.34,33,3,62
1,131.82,38,9,34
0,39.52,8,2,49
0,76.17,18,6,20
1,65.8,5,0,46
1,84.62,9,5,61
1,133.29,47,9,41
0,83.88,37,2,53
1,73.63,3,1,21
1,124.38,33,9,56
0,70.42,27,3,25
1,107.41,14,6,63
0,59.68,11,2,54
0,72.32,1,6,22
0,72.64,9,3,40
1,140.04,44,31,39
1,100.84,45,1,40
0,66.46,30,1,36
1,106.8,37,1,39
1,89.72,24,6,40
1,136.98,47,5,53
0,60.75,24,1,51
1,66.72,5,3,31
1,60.52,18,5,29
1,96.91,25,4,26
1,72.62,24,4,27
1,93.82,41,15,22
1,73.6,31,2,58
1,129.38,40,11,28
1,113.15,46,1,43
0,109.12,3,12,42
0,77.33,17,8,34
1,106.5,34,6,64
1,100.72,37,6,42
0,77.9,5,4,48
1,126.68,35,3,64
0,79.65,13,1,28
0,72.93,19,6,52
1,108.45,30,4,47
0,57.75,34,4,22
1,126.39,31,7,38
0,79.15,2,3,54
0,69.83,46,2,24
1,132.41,46,5,54
0,83.24,14,3,32
0,84.12,36,2,36
0,101.67,45,5,53
0,35.48,13,5,23
0,87.83,5,14,60
0,89.56,22,5,34
1,161.49,44,4,54
1,114.76,31,8,61
1,128.97,41,2,19
0,72.26,13,7,51
1,87.9,18,4,46
0,40.3,19,1,22
1,146.94,32,7,21
0,59.44,35,5,24
0,47.52,34,2,31
0,126.88,32,10,61
1,62.49,13,2,31
1,117.26,25,1,60
1,99.93,30,2,41
1,66.46,13,2,24
0,53.07,11,1,36
0,104.53,7,14,56
1,110.0,44,4,54
0,85.01,30,2,24
1,132.93,30,19,42
1,133.16,42,9,40
0,76.8,12,0,45
0,86.32,13,4,39
1,130.37,18,5,64
1,61.17,6,7,35
0,71.9,37,14,42
0,96.72,11,8,43
1,122.9,12,4,64
0,81.86,34,9,46
0,37.53,11,1,26
0,107.63,33,4,31
1,101.39,12,0,52
0,117.72,12,12,52
0,76.04,2,6,53
0,74.34,6,1,42
1,90.94,13,7,38
1,162.26,45,10,58
0,63.28,9,1,18
1,75.48,6,1,63
1,103.89,42,1,25
1,101.48,46,3,34
0,88.64,29,9,53
0,72.23,43,6,37
1,82.34,15,2,63
1,120.83,44,6,57
1,140.45,39,14,33
1,107.43,24,4,57
1,120.99,19,7,42
1,84.09,3,2,18
1,94.71,44,11,58
1,95.71,8,2,50
0,68.67,45,8,22
0,61.48,38,6,34
1,110.78,31,6,25
0,59.48,16,2,44
0,67.08,4,3,26
1,84.69,37,1,30
1,98.06,34,10,51
0,101.35,19,8,48
0,68.94,27,1,53
0,100.79,13,2,45
0,130.64,5,10,55
0,43.01,35,3,50
1,171.97,43,28,29
0,116.76,34,2,51
0,79.22,13,3,43
1,84.4,42,4,27
1,127.91,17,11,33
1,117.71,32,1,26
0,84.24,4,11,33
0,116.41,19,20,51
1,102.6,22,9,60
1,56.48,6,3,36
1,112.52,8,15,59
0,71.76,3,18,61
0,68.81,29,7,49
0,62.73,11,0,24
1,134.13,47,4,26
0,72.37,28,1,63
1,101.92,36,6,25
1,138.66,42,4,61
1,108.87,34,5,40
1,78.88,31,3,26
1,128.95,43,4,35
0,70.39,26,6,60
1,162.47,27,20,56
0,108.51,10,14,45
0,104.17,35,6,35
1,125.2,47,2,39
0,31.72,18,3,59
0,32.56,21,1,48
1,59.07,15,6,39
0,80.0,20,5,59
1,108.83,40,0,64
1,84.78,9,1,40
0,71.33,25,3,28
1,107.55,43,3,34
0,101.32,20,14,26
0,68.27,31,0,19
0,122.31,45,11,59
0,68.96,6,10,36
1,83.31,9,3,60
0,80.66,11,4,35
1,96.83,25,4,54
1,84.81,6,7,32
1,75.42,46,2,22
0,61.87,8,3,28
0,42.32,9,2,21
1,107.85,10,3,61
0,47.11,37,2,42
1,57.56,19,4,22
0,78.54,7,13,44
0,113.15,11,18,59
0,94.15,12,7,22
1,122.61,44,4,20
0,64.22,24,6,53
1,104.92,36,10,44
0,66.49,1,3,56
0,89.52,44,24,26
0,115.78,39,11,37
1,52.01,10,1,61
0,52.24,35,8,38
1,142.38,39,3,53
0,103.16,12,13,38
1,79.9,20,2,54
1,75.72,18,4,47
0,98.73,44,5,29
0,124.14,11,27,54
0,84.9,13,10,62
1,132.83,28,2,43
1,137.91,29,26,23
0,92.65,35,1,54
0,78.68,9,13,22
0,52.76,29,4,35
1,71.01,1,8,59
1,107.87,22,5,48
1,113.58,25,2,22
0,107.04,9,9,53
0,74.94,5,3,23
0,74.36,9,4,46
1,106.13,19,4,59
0,78.13,16,8,29
0,61.19,25,16,20
0,62.87,13,16,20
1,108.18,33,8,32
0,79.82,4,2,29
1,119.55,28,2,35
1,111.06,21,2,43
0,37.33,45,3,27
0,105.81,23,7,40
0,76.13,34,15,45
0,100.44,33,7,30
0,57.02,22,2,21
0,103.63,40,19,22
1,83.44,9,10,52
0,79.23,30,3,46
1,101.55,14,16,54
1,79.83,28,2,19
0,82.55,11,14,51
0,36.03,30,3,29
0,76.51,24,3,48
0,66.78,18,2,47
1,87.52,45,2,39
1,137.82,38,8,46
1,103.8,21,2,54
1,66.99,15,1,42
1,66.41,11,1,49
1,133.18,34,7,52
1,105.83,19,1,59
0,67.64,30,1,26
1,90.47,23,2,45
1,92.99,3,2,40
0,103.36,11,2,44
1,82.45,28,3,43
0,73.13,11,3,19
0,94.39,3,3,32
0,81.27,4,6,34
1,105.18,36,8,33
1,111.69,13,5,52
1,111.02,37,5,56
1,97.21,26,2,25
0,59.14,14,7,58
0,64.52,5,8,53
1,126.35,40,7,20
1,102.82,33,6,24
1,164.18,47,3,55
0,53.25,32,8,21
0,60.07,4,12,29
1,55.78,8,1,29
1,80.33,33,2,64
1,117.83,26,4,38
1,117.09,30,1,43
0,82.56,1,2,45
1,145.61,47,16,53
0,77.12,14,3,37
0,111.71,31,13,51
0,96.2,30,13,32
0,70.44,41,2,29
1,74.94,21,4,63
0,77.09,32,8,28
0,100.94,14,13,40
1,137.98,32,10,57
0,110.34,6,5,43
0,89.28,32,2,64
1,72.85,4,2,30
0,103.61,11,4,23
0,57.9,40,3,23
0,98.7,17,8,46
1,129.1,27,4,57
0,62.83,18,2,28
0,66.74,8,4,41
0,53.63,2,4,32
0,82.51,17,14,50
0,113.42,16,15,21
1,88.4,41,4,35
1,238.16,42,50,45
0,34.81,15,4,22
1,110.4,32,7,56
1,94.42,35,4,49
1,130.6,42,12,46
1,75.33,20,1,56
0,81.52,26,5,47
1,95.16,28,5,24
1,100.97,38,1,55
0,86.0,10,6,26
1,76.37,7,4,44
1,56.3,8,3,31
1,153.46,45,1,64
0,52.05,20,3,21
0,42.55,21,5,29
1,100.47,12,7,57
1,113.86,43,3,26
1,67.23,2,2,36
1,124.22,34,18,34
0,57.99,17,9,46
0,73.88,10,4,38
0,88.11,7,2,54
1,74.71,17,2,64
0,66.09,14,5,58
1,92.5,21,4,31
1,71.37,35,3,56
0,55.54,7,7,53
0,104.33,25,3,57
1,116.31,45,7,61
1,102.29,36,2,30
1,89.4,34,6,45
0,132.15,25,26,47
1,103.92,25,1,63
1,77.23,17,1,59
1,120.51,39,9,53
0,53.14,14,4,19
1,110.37,46,2,21
1,111.24,29,2,21
0,78.24,6,0,44
1,127.42,47,2,64
0,101.11,29,5,43
1,136.6,32,4,55
1,136.27,29,6,49
1,95.17,27,5,54
0,36.21,43,1,25
1,96.33,36,4,64
0,78.27,31,3,53
0,95.86,14,1,39
0,97.96,12,5,44
1,55.89,16,2,42
0,90.84,7,2,44
1,131.01,39,1,62
1,82.46,2,4,54
1,70.55,22,5,43
1,102.61,29,2,33
0,82.56,29,7,44
1,112.51,41,4,21
1,135.41,47,1,41
1,119.79,35,3,48
1,76.17,11,2,27
1,103.88,35,3,19
1,109.55,6,1,53
1,104.06,27,11,58
1,99.18,31,7,26
0,45.51,30,3,33
0,107.58,14,1,36
1,86.65,16,5,57
1,114.42,29,4,57
1,112.92,37,6,53
1,113.4,41,3,24
0,74.62,28,2,62
1,124.39,45,3,20
1,185.27,47,16,52
0,68.58,18,3,55
1,113.62,42,3,38
0,106.89,35,9,63
0,111.55,1,4,47
0,71.09,22,2,25
0,121.57,31,13,31
0,90.07,2,4,48
1,116.87,16,8,29
1,131.51,28,8,40
0,84.59,19,5,23
1,72.3,29,2,35
1,225.33,16,35,45
0,51.6,13,7,18
0,60.47,44,6,46
1,117.0,42,2,29
1,73.16,19,2,47
1,141.59,46,10,57
1,77.39,7,15,21
1,96.66,29,5,53
0,64.26,28,9,56
0,93.3,11,4,32
0,73.66,9,1,51
1,107.85,23,5,44
0,101.38,9,3,28
0,103.01,11,7,19
1,118.93,47,5,52
0,90.38,37,8,33
0,93.15,18,7,42
1,78.97,3,7,55
1,133.33,42,3,31
0,113.86,15,5,42
1,100.14,12,21,45
0,66.72,25,2,55
0,95.63,13,9,35
1,68.0,30,3,40
0,102.08,31,4,52
0,87.7,26,1,31
0,89.49,19,3,19
1,51.81,36,2,51
0,67.86,14,3,53
1,26.11,9,5,23
1,135.9,29,5,46
1,92.38,21,2,58
1,65.59,4,2,30
1,166.45,32,24,47
0,62.4,44,1,52
1,120.29,42,7,45
0,94.92,5,7,52
0,67.54,1,2,21
0,94.02,14,5,35
1,52.89,9,2,34
0,108.79,13,7,48
0,72.33,31,4,38
1,93.57,28,8,19
1,160.61,29,19,30
0,97.27,8,3,32
0,74.03,16,4,24
0,83.1,30,7,47
1,104.43,31,4,21
1,77.23,19,5,26
1,91.84,20,4,47
0,116.14,4,7,58
1,136.8,42,14,63
0,70.56,20,4,49
1,95.38,18,1,30
